pharmacy|药房；配药学，药剂学；制药业；一批备用药品
implement|实施，执行；实现，使生效 n. 工具，器具；手段
muddle|混合；使咬字不清晰；使微醉 n. 糊涂；困惑；混浊状态
confession|忏悔，告解；供认；表白
icon|图标；偶像；肖像，画像；圣像
mitigate|使缓和，使减轻
separate|使分离；使分开；使分居 adj. 单独的；分开的；不同的；各自的； n. 分开；抽印本
cerebral|大脑的，脑的
tepid|微温的，温热的；不太热烈的；不热情的
pathos|悲怅；痛苦；同情；哀婉动人的词句
heartrending|悲惨的；令人心碎的
forceps|[医] 钳子；医用镊子
analogy|类比；类推；类似
plenitude|充分；丰富；大量
foggy|有雾的；模糊的，朦胧的
dilemma|困境；进退两难；两刀论法
conservationist|自然资源保护论者
burgher|市民（现主要指某些欧洲国家中产阶级的市民或镇民）；公民
momentary|瞬间的；短暂的；随时会发生的
sully|玷污；使丢脸 n. 污点，损伤
subterranean|地下的；秘密的；隐蔽的 n. 地下工作者
generalize|概括；推广；使一般化
hiatus|裂缝，空隙；脱漏部分
artful|巧妙的；狡猾的；有技巧的；欺诈的
slovenly|懒散的；不整洁的；马虎的 adv. 邋遢地；马虎地；不整洁地
expanse|宽阔；广阔的区域；苍天；膨胀扩张
acquaintance|熟人；相识；了解；知道
forte|长处；特长 adj. 强音的；响的 adv. 响亮地
oscillate|使振荡；使振动；使动摇
apostasy|变节；脱党；背教
diagnosis|诊断
energetic|精力充沛的；积极的；有力的
ponderous|笨重的；沉闷的；呆板的
bibliography|参考书目；文献目录
expect|期望；指望；认为；预料
circular|循环的；圆形的；间接的 n. 通知，传单
arc|弧（度）；弧光（全称electric arc）；弧形物；天穹 adj. 圆弧的；反三角函数的 v. 形成电弧；走弧线
aggravation|加剧；激怒；更恶化
cauterize|烧灼；腐蚀；使麻木（等于cauterise）
clarify|澄清；阐明
retard|延迟；阻止；妨碍；使减速 n. 延迟；阻止
readjust|再调整；重新适应
archipelago|群岛，列岛；多岛的海区
periodical|[数] 周期的；定期的 n. 期刊；杂志
culpable|有罪的；该责备的；不周到的；应受处罚的
circuitous|迂曲的；绕行的；迂回线路的
apostate|变节的；脱党的；背教的 n. 脱党者；变节者；叛教者
projector|[仪] 投影仪；放映机；探照灯；设计者
plus|正号，加号；好处；附加额 adj. 正的；附加的 prep. 加，加上
polymer|[高分子] 聚合物
phonic|有声的，浊音的；声音的，语音的；声学的
sturdy|坚定的；强健的；健全的 n. 羊晕倒病
plagiarism|剽窃；剽窃物
monotone|单调；单音调 adj. 单调的 vt. 单调地读
cite|引用；传讯；想起；表彰
assessor|评审员；确定税款的人；顾问
skirmish|小冲突，小规模战斗；小争论 v. 进行小规模战斗；发生小争论
extinguish|熄灭；压制；偿清
decry|责难，谴责；诽谤
riddance|摆脱；驱逐；解除
aerostat|航空器；高空气球
humdrum|单调的；无聊的 n. 单调；乏味 vi. 单调乏味地进行
alveolar|肺泡的；齿槽的 n. 齿槽音
occlude|使闭塞；封闭；挡住
squander|浪费 n. 浪费
contact|接触，联系 v. 使接触，联系
mode|模式；方式；风格；时尚
qualitative|定性的；质的，性质上的
equipoise|平衡；均势
typical|典型的；特有的；象征性的
evaporate|使……蒸发；使……脱水；使……消失
outrage|愤怒，愤慨；暴行；侮辱 v. 凌辱，强奸；对…施暴行；激起愤怒
acquire|获得；取得；学到；捕获
carouse|畅饮；欢宴 n. 喧闹的酒会或宴会；一饮而尽
sequester|使隔绝；使隐退；没收，扣押
mock|英国模拟考试（mocks） v. 愚弄，嘲弄 adj. 仿制的，模拟的，虚假的，不诚实的
apiece|每人；每个；各自地
hut|小屋；临时营房 vt. 使住在小屋中；驻扎 vi. 住在小屋中；驻扎
chastise|惩罚；严惩；责骂
profound|深厚的；意义深远的；渊博的
insurgent|叛乱的；起义的 n. 叛乱者；起义者
admissible|可容许的；可采纳的；可接受的
belligerent|交战的；好战的；交战国的 n. 交战国；参加斗殴的人或集团
ostentatious|招摇的；卖弄的；夸耀的；铺张的；惹人注目的
ulterior|将来的，较远的；在那边的；隐秘不明的
point|要点；得分；标点；[机] 尖端 v. 指向；弄尖；加标点于
scatter|分散，散开；散射 n. 分散；散播，撒播
outbreak|（战争的）爆发；（疾病的）发作 vi. 爆发
deceitful|欺骗的；欺诈的；谎言的；虚伪的
precipitation|[化学] 沉淀，[化学] 沉淀物；降水；冰雹；坠落；鲁莽
bacteria|[微] 细菌
ebullience|奔放；兴高采烈；沸腾；冒泡
protagonist|主角，主演；主要人物，领导者
cogent|强有力的；使人信服的
propel|推进；驱使；激励；驱策
transcript|成绩单；抄本，副本；文字记录
persevere|坚持；不屈不挠；固执己见（在辩论中）
vegetal|植物的，植物性的；生长的 n. 植物；蔬菜
bosom|胸；胸怀；中间；胸襟；内心；乳房；内部 v. 怀抱；把…藏在心中 adj. 知心的；亲密的
determination|决心；果断；测定
farcical|滑稽的；闹剧的；引人发笑的
indiscernible|难识别的；看不见的
omnivorous|杂食的；什么都读的；无所不吃的
divisible|可分的；可分割的
destitution|穷困；缺乏
supposition|假定；推测；想像；见解
armory|[军] 军械库；[军] 兵工厂（等于armoury）
garnish|装饰 n. 为增加色香味而添加的配菜；装饰品
decoy|诱饵；诱骗 v. 诱骗
refusal|拒绝；优先取舍权；推却；取舍权
heterodox|异端的；非正统的
hydraulic|液压的；水力的；水力学的
autobiography|自传；自传文学
postdate|填迟……的日期；把……的日期填迟；继……之后 n. 事后日期；推迟日期
fugue|赋格曲；神游症 vi. 作赋格曲 vt. 把…编成赋格曲
chastity|贞洁；纯洁；简洁
perpetuate|使不朽；保持 adj. 长存的
garrulous|唠叨的；喋喋不休的；多嘴的
bellicose|好战的；好斗的
immoderate|无节制的，过度的；不适中的
outstrip|超过；胜过；比…跑得快
identical|同一的；完全相同的 n. 完全相同的事物
somber|忧郁的；昏暗的；严峻的；阴天的
tyranny|暴政；专横；严酷；残暴的行为（需用复数）
athwart|横跨着；相反 prep. 横跨；与相反
specific|特殊的，特定的；明确的；详细的；[药] 具有特效的 n. 特性；细节；特效药
absolution|赦免；免罪
testimony|[法] 证词，证言；证据
excess|超过，超额；过度，过量；无节制 adj. 额外的，过量的；附加的
object|目标；物体；客体；宾语 v. 提出…作为反对的理由
trite|陈腐的；平庸的；老一套的
epicure|老饕；美食家；享乐主义者
impoverish|使贫穷；使枯竭
emollient|[药] 润肤剂；软化剂 adj. 使柔软的
intuition|直觉；直觉力；直觉的知识
permeable|能透过的；有渗透性的
reliant|依赖的；可靠的；信赖的
osmosis|[物] 渗透；[物] 渗透性；渗透作用
error|误差；错误；过失
salutatory|致敬意的；表示欢迎的 n. 祝词；开幕词
pertinacious|顽固的；执拗的
urgent|紧急的；急迫的
electromagnet|电磁体，[电] 电磁铁；电磁石
denounce|谴责；告发；公然抨击；通告废除
fold|折叠；合拢；抱住；笼罩 n. 折痕；信徒；羊栏
puerile|幼稚的；孩子气的；未成熟的；天真的
superficial|表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
term|术语；学期；期限；条款；(代数式等的)项 v. 把…叫做
betide|预示；降临于，发生于
menace|威胁；恐吓 v. 恐吓；进行威胁
guarantee|保证；担保；保证人；保证书；抵押品 v. 保证；担保
nihilism|虚无主义；无政府主义；恐怖行为
incentive|动机；刺激 adj. 激励的；刺激的
despondent|沮丧的；失望的
shatter|粉碎；打碎；破坏；破掉；使散开 n. 碎片；乱七八糟的状态
morass|沼泽；困境；乱糟糟的一堆
linchpin|关键（等于lynchpin）；制轮楔；轮辖
apprehensive|忧虑的；不安的；敏悟的；知晓的
attraction|吸引，吸引力；引力；吸引人的事物
enzyme|[生化] 酶
detrimental|不利的；有害的 n. 有害的人（或物）；不受欢迎的求婚者
autonomy|自治，自治权
nonchalant|冷淡的，漠不关心的
exacting|严格的；苛求的；吃力的 v. 逼取；急需（exact的ing形式）
thoroughbred|受过严格训练的人；良种动物 adj. 良种的；受过严格训练的；优秀的
grimace|扮鬼脸；作怪相；作苦相 n. 鬼脸；怪相；痛苦的表情
trick|诡计；恶作剧；窍门；花招；骗局；欺诈 v. 欺骗；哄骗；装饰；打扮 adj. 特技的；欺诈的；有决窍的
right|正确的；直接的；右方的 v. 复正；恢复平稳 n. 正确；右边；正义 adv. 正确地；恰当地；彻底地
prate|瞎扯 n. 唠叨；空谈；瞎扯
distinction|区别；差别；特性；荣誉、勋章
nexus|关系；连结，连系
actuary|[保险] 保险计算员；保险精算师
forerun|预示；预告；走在…之前
differentiate|区分，区别
amputate|截肢；切断；删除
perspicuity|（语言、文章、表达等的）明晰；简明
inert|[化学] 惰性的；呆滞的；迟缓的；无效的
alacrity|敏捷；轻快；乐意
junction|连接，接合；交叉点；接合点
paradox|悖论，反论；似非而是的论点；自相矛盾的人或事
incinerate|把……烧成灰；烧弃
native|本国的；土著的；天然的；与生俱来的；天赋的 n. 本地人；土产；当地居民
repertory|储备；仓库；全部剧目
exacerbate|使加剧；使恶化；激怒
caprice|任性，反复无常；随想曲，怪想
insignificant|无关紧要的
enthrone|使登基；立…为王；任为主教；崇拜
domineer|跋扈；作威作福
justify|证明合法；整理版面
vivid|生动的；鲜明的；鲜艳的
secondary|第二的；中等的；次要的；中级的 n. 副手；代理人
fraudulent|欺骗性的；不正的
token|表征；代币；记号 adj. 象征的；表意的；作为对某事的保证的 vt. 象征；代表
scintillate|发出火花；闪烁
trial|试验；审讯；努力；磨炼 adj. 试验的；审讯的
sophisticated|复杂的；精致的；久经世故的；富有经验的 v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）
ridiculous|可笑的；荒谬的
aggress|攻击；侵略
illegible|难辨认的；字迹模糊的
drainage|排水；排水系统；污水；排水面积
bountiful|丰富的；慷慨的；宽大的
hazard|赌运气；冒…的危险，使遭受危险 n. 危险，冒险；冒险的事
solar|太阳的；日光的；利用太阳光的；与太阳相关的 n. 日光浴室
distill|提取；蒸馏；使滴下
ciliate|纤毛虫 adj. 有纤毛的
senile|高龄的；老衰的；高龄所致的
ornamental|装饰的，装饰性的 n. 观赏植物；装饰品
expiate|赎罪；补偿
aquatic|水生的；水栖的；在水中或水面进行的 n. 水上运动；水生植物或动物
feign|假装；装作；捏造；想象
predict|预报，预言；预知
irrational|不合理的；无理性的；荒谬的 n. [数] 无理数
cipher|密码；暗号；零 v. 使用密码；计算；做算术
succinct|简洁的；简明的；紧身的
abstain|自制；放弃；避免
garner|获得；储存；把…储入谷仓 n. 谷仓
inalienable|不可分割的；不可剥夺的；不能让与的
appalling|可怕的；令人震惊的 v. 使惊愕；惊吓（appal的ing形式）
perspicacious|有洞察力的；聪颖的；敏锐的
reluctant|不情愿的；勉强的；顽抗的
root|根；根源；词根；祖先 v. 生根；根除
resistant|抵抗的，反抗的；顽固的 n. 抵抗者
incognito|改名的；微行的；隐姓埋名的 adv. 隐姓埋名地 n. 匿名者；微行者
lead|领导；铅；导线；榜样 v. 领导；致使；引导；指挥 adj. 带头的；最重要的
comestible|食物 adj. 可吃的，可食的
precedent|先例；前例 adj. 在前的；在先的
chicanery|狡辩；欺骗；强词夺理
ambidextrous|双手灵巧的；怀有二心的
superfluous|多余的；不必要的；奢侈的
malevolent|恶毒的；有恶意的；坏心肠的
height|高地；高度；身高；顶点
personnel|人事部门；全体人员 adj. 人员的；有关人事的
inundate|淹没；泛滥；浸水；（洪水般的）扑来
burnish|擦亮；使…光亮；将…打磨光亮 n. 光泽；抛光；闪闪发光
condescending|表现出优越感的；居高临下的 v. 屈尊（condescend的ing形式）
fumigate|熏制；香薰；用烟熏消毒
heretical|异端的；异教的
cataclysm|灾难；大洪水，地震；（社会政治的）大变动
aggravate|加重；使恶化；激怒
execute|实行；执行；处死
guileless|诚实的
fat|肥的，胖的；油腻的；丰满的 n. 脂肪，肥肉 v. 养肥；在…中加入脂肪
notable|值得注意的，显著的；著名的 n. 名人，显要人物
hemolysis|[生理][免疫] 溶血（现象）；血细胞溶解
regiment|把…编成团；严格地管制 n. 团；大量
fanfare|吹牛，炫耀；喇叭或号角嘹亮的吹奏声 vt. 热热闹闹地宣布
sluggish|萧条的；迟钝的；行动迟缓的；懒惰的 n. 市况呆滞；市势疲弱
inequity|不公平，不公正
rural|农村的，乡下的；田园的，有乡村风味的
fascinate|使着迷，使神魂颠倒
confrontation|对抗；面对；对质
proximity|接近，[数]邻近；接近；接近度，距离；亲近
